Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-01-10,17:11:00,Long March 3B/E,Zhongxing-2D (Chinasat-2D),Active,29.15,Success
SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019-01-11,15:31:00,Falcon 9 Block 5,Iridium-8,Active,67,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019-01-15,00:30:00,Simorgh,Payam-e Amirkabir,Active,0,Failure
JAXA,"Mu Pad, Uchinoura Space Center, Japan",2019-01-18,00:50:00,Epsilon PBS,Innovative Satellite Technology Demonstration-1,Active,39,Success
ULA,"SLC-6, Vandenberg AFB, California, USA",2019-01-19,19:10:00,Delta IV Heavy,NROL-71,Active,350,Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019-01-21,05:42:00,Long March 11,Jilin-1 Hyperspectral & Others,Active,5.3,Success
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-01-23,15:05:00,New Shepard,NS-10,Active,0,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-01-24,18:07:00,PSLV-DL,Microsat-R,Active,0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-02-05,21:01:00,Ariane 5 ECA,GSAT-31 & Hellas-Sat-4,Active,200,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019-02-05,,Safir-1B+,Dousti,Active,0,Failure
VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-02-21,16:47:00,Soyuz 2.1b/Fregat-M,EgyptSat-A,Active,25,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-02-22,01:45:00,Falcon 9 Block 5,Nusantara Satu & Beresheet,Active,67,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-02-27,21:37:00,Soyuz ST-B/Fregat-M,OneWeb #1,Active,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-03-02,07:49:00,Falcon 9 Block 5,SpaceX Demo-1,Active,67,Success
Exos,"Vertical Launch Area, Spaceport America, New Mexico",2019-03-02,17:45:00,SARGE,Launch 2,Active,0,Partial Failure
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-03-09,16:28:00,Long March 3B/E,Zhongxing-6C,Active,29.15,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-03-14,19:14:00,Soyuz FG,Soyuz MS-12 (58S),Retired,0,Success
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2019-03-16,00:26:00,"Delta IV Medium+ (5,4)",WGS-10,Retired,0,Success
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2019-03-22,01:50:00,Vega,PRISMA,Active,37,Success
OneSpace,"Site 95, Jiuquan Satellite Launch Center, China",2019-03-27,09:39:00,OS-M1,Lingque-1B,Active,0,Failure
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-03-28,23:27:00,Electron/Curie,Two Thumbs Up,Active,7.5,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-03-31,15:51:00,Long March 3B/E,Tianlian-2,Active,29.15,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-04-01,03:57:00,PSLV-QL,EMISAT & Rideshares,Active,21,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-04-04,11:01:00,Soyuz 2.1a,Progress MS-11 (72P),Active,17.42,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-04-04,17:04:00,Soyuz ST-B/Fregat-MT,O3b FM17-FM20,Active,30,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-04-11,22:35:00,Falcon Heavy,ArabSat 6A,Active,90,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019-04-17,20:46:00,Antares 230,CRS NG-11,Retired,85,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-04-20,14:30:00,Long March 3B/E,Beidou-3 IGSO-1,Active,29.15,Success
CASC,"Taiyuan Satellite Launch Center, China",2019-04-29,22:52:00,Long March 4B,Tianhui-2 Group 01,Active,64.68,Success
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-05-02,13:35:00,New Shepard,NS-11,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-04,06:48:00,Falcon 9 Block 5,CRS-17,Active,67,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-05-05,06:00:00,Electron/Curie,That's a Funny Looking Cactus,Active,7.5,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-05-17,15:48:00,Long March 3C/E,Beidou-2 G8,Active,20,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-05-22,00:00:00,PSLV-CA,RISAT-2B,Active,21,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-05-22,22:55:00,Long March 4C,Yaogan Weixing-33,Active,64.68,Failure
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-05-24,02:30:00,Falcon 9 Block 5,Starlink V0.9,Active,67,Success
Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-05-27,06:23:00,Soyuz 2.1b/Fregat-M,Cosmos 2534,Active,25,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019-05-30,17:42:00,Proton-M/Briz-M,Yamal-601,Active,65,Success
CASC,"Tai Rui Barge, Yellow Sea",2019-06-05,04:06:00,Long March 11H,Jilin-1 & Others,Active,5.3,Success
SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019-06-12,14:17:00,Falcon 9 Block 5,RADARSAT Constellation,Active,67,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-06-20,21:43:00,Ariane 5 ECA,Eutelsat 7C &  AT&T T-16,Active,200,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-06-24,18:09:00,Long March 3B/E,Beidou-3 IGSO-2,Active,29.15,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019-06-25,06:30:00,Falcon Heavy,STP-2,Active,90,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-06-29,04:30:00,Electron/Curie,Make it Rain,Active,7.5,Success
Exos,"Vertical Launch Area, Spaceport America, New Mexico",2019-06-29,18:00:00,SARGE,Launch 3,Active,0,Partial Failure
Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2019-07-05,05:41:00,Soyuz 2.1b/Fregat-M,"Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",Active,25,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-07-10,17:14:00,Soyuz 2.1v/Volga,Cosmos 2535 to 2538,Active,0,Success
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2019-07-11,01:53:00,Vega,Falcon Eye 1,Active,37,Failure
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-07-13,12:31:00,Proton-M/DM-3,Spektr-RG,Active,65,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-07-20,16:28:00,Soyuz FG,Soyuz MS-13 (59S),Retired,0,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-07-22,09:13:00,GSLV Mk III,Chandrayaan-2 lunar mission,Active,62,Success
i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2019-07-25,05:00:00,Hyperbola-1,CAS-7B & Others,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-07-25,22:01:00,Falcon 9 Block 5,CRS-18,Active,67,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-07-26,03:57:00,Long March 2C,Yaogan-30-05,Active,30.8,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-07-30,05:56:00,Soyuz 2.1a/Fregat-M,Meridian-M nвЂ В­18L,Active,23,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-07-31,12:10:00,Soyuz 2.1a,Progress MS-12,Active,17.42,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-08-05,21:56:00,Proton-M/Briz-M,Cosmos 2539,Active,65,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-08-06,19:30:00,Ariane 5 ECA,EDRS-C/HYLAS 3 & Intelsat 39,Active,200,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-08-06,23:23:00,Falcon 9 Block 5,AMOS-17,Active,67,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2019-08-08,10:13:00,Atlas V 551,AEHF 5,Active,153,Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019-08-17,04:11:00,Jielong-1,Tianqi-4 & Others,Active,7.5,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-08-19,12:03:00,Long March 3B/E,ChinaSat 18,Active,29.15,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-08-19,12:12:00,Electron/Curie,"Look Ma, No Hands!",Active,7.5,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-08-22,03:38:00,Soyuz 2.1a,Soyuz MS-14 (60S),Active,17.42,Success
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",2019-08-22,13:06:00,"Delta IV Medium+ (4,2)",GPS III SV02,Retired,164,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019-08-29,,Safir-1B+,Nahid-1,Active,0,Prelaunch Failure
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019-08-30,14:00:00,Rokot/Briz KM,Cosmos 2540,Retired,41.8,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019-08-30,23:41:00,Kuaizhou 1A,KX-09 & Others,Active,5.8,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-09-12,03:26:00,Long March 4B,"Ziyuan-2D, BNU-1 & Taurus-1",Active,64.68,Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019-09-19,06:42:00,Long March 11,Zhuhai-1 Group 03,Active,5.3,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-09-22,21:10:00,Long March 3B/YZ-1,BeiDou-3 M23 & M24,Active,0,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan",2019-09-24,16:05:00,H-IIB,HTV-8,Retired,112.5,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019-09-25,00:54:00,Long March 2D,Yunhai-1-02,Active,29.75,Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-09-25,13:57:00,Soyuz FG,Soyuz MS-15 (61S),Retired,0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-09-26,07:46:00,Soyuz 2.1b/Fregat,Cosmos 2541,Active,25,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-10-04,18:51:00,Long March 4C,Gaofen 10 (Replacement),Active,64.68,Success
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019-10-09,10:17:00,Proton-M/Briz-M,Eutelsat 5 West B & MEV-1,Active,65,Success
Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2019-10-11,01:59:00,Pegasus XL,ICON,Active,40,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-10-17,01:22:00,Electron/Curie,As The Crow Flies,Active,7.5,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-10-17,15:21:00,Long March 3B/E,TJSW-4,Active,29.15,Success
Exos,"Vertical Launch Area, Spaceport America, New Mexico",2019-10-26,17:40:00,SARGE,Launch 4,Active,0,Failure
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019-11-02,13:59:00,Antares 230+,CRS NG-12,Active,85,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-11-03,03:22:00,Long March 4B,Gaofen-7,Active,64.68,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2019-11-04,17:43:00,Long March 3B/E,Beidou-3 IGSO-3,Active,29.15,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-11-11,14:56:00,Falcon 9 Block 5,Starlink V1 L1,Active,67,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019-11-13,03:40:00,Kuaizhou 1A,Jilin 1-02A,Active,5.8,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China",2019-11-13,06:35:00,Long March 6,Ningxia-1 (x5),Active,19,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019-11-17,10:00:00,Kuaizhou 1A,"KL-Alpha A, KL-Alpha B",Active,5.8,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-11-23,00:55:00,Long March 3B/YZ-1,BeiDou-3 M21 & M22,Active,0,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019-11-25,17:52:00,Soyuz 2.1v/Volga,Cosmos 2542 & 2543,Active,0,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-11-26,21:23:00,Ariane 5 ECA,Inmarsat 5 F5 & TIBA-1,Active,200,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-11-27,03:58:00,PSLV-XL,Cartosat-3 & Rideshares,Active,31,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-11-27,23:52:00,Long March 4C,Gaofen-12,Active,64.68,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-05,17:29:00,Falcon 9 Block 5,CRS-19,Active,67,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-12-06,08:18:00,Electron/Curie,Running Out Of Fingers,Active,7.5,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-12-06,09:34:00,Soyuz 2.1a,Progress MS-13 (74P),Active,17.42,Success
ExPace,"Taiyuan Satellite Launch Center, China",2019-12-07,02:55:00,Kuaizhou 1A,Jilin-1 Gaofen-02B,Active,5.8,Success
ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019-12-07,08:52:00,Kuaizhou 1A,HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,Active,5.8,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2019-12-11,08:54:00,Soyuz 2.1b/Fregat,Cosmos 2544,Active,25,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-12-11,09:55:00,PSLV-QL,RISAT 2BR1,Active,21,Success
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",2019-12-11,17:55:00,New Shepard,NS-12,Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2019-12-16,07:22:00,Long March 3B/YZ-1,BeiDou-3 M19 & M20,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-17,00:10:00,Falcon 9 Block 5,JCSAT-18 / Kacific-1,Active,67,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-12-18,08:54:00,Soyuz ST-A/Fregat-M,"CSG-1, CHEOPS & Others",Active,30,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019-12-20,03:22:00,Long March 4B,"CBERS-4A, ETRSS-1 & Others",Active,64.68,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2019-12-20,11:36:00,Atlas V N22,Starliner OFT,Active,0,Success
Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-12-24,12:03:00,Proton-M/DM-3,Elektro-L nвЂ В­3,Active,65,Success
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019-12-26,23:11:00,Rokot/Briz KM,"Gonets-M ???24, 25, 26 [block-15] & Blits-M1",Retired,41.8,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China",2019-12-27,12:45:00,Long March 5,Shijian-20,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-07,02:19:00,Falcon 9 Block 5,Starlink V1 L2,Active,67,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-01-07,15:20:00,Long March 3B/E,TJSW-5,Active,29.15,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-01-15,02:53:00,Long March 2D,Jilin-1 Wideband 01 & ??uSat-7/8,Active,29.75,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-01-16,03:02:00,Kuaizhou 1A,Yinhe-1,Active,5.8,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-01-16,21:05:00,Ariane 5 ECA,Eutelsat Konnect BB4A & GSAT-30,Active,200,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-01-19,15:30:00,Falcon 9 Block 5,Crew Dragon Inflight Abort Test,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-29,14:06:00,Falcon 9 Block 5,Starlink V1 L3,Active,67,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-01-31,02:56:00,Electron/Curie,Birds of a Feather / NROL-151,Active,7.5,Success
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-02-06,21:42:00,Soyuz 2.1b/Fregat,OneWeb #2,Active,25,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",2020-02-09,01:34:00,H-IIA 202,IGS-Optical 7,Active,90,Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2020-02-09,15:48:00,Simorgh,Zafar 1,Active,0,Failure
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-02-10,04:03:00,Atlas V 411,Solar Orbiter,Retired,115,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020-02-15,20:21:00,Antares 230+,CRS NG-13,Active,85,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-02-17,15:05:00,Falcon 9 Block 5,Starlink V1 L4,Active,67,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-02-18,22:18:00,Ariane 5 ECA,JCSAT-17 & GEO-KOMPSAT 2B,Active,200,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-02-19,21:07:00,Long March 2D,XJS-C to F,Active,29.75,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2020-02-20,08:24:00,Soyuz 2.1a/Fregat-M,Meridian-M nвЂ В­19L,Active,23,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-03-07,04:50:00,Falcon 9 Block 5,CRS-20,Active,67,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-03-09,11:55:00,Long March 3B/E,Beidou-3 G2,Active,29.15,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China",2020-03-16,13:34:00,Long March 7A,XJY-6,Active,0,Failure
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-03-16,18:28:00,Soyuz 2.1b/Fregat-M,Cosmos 2545,Active,25,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-03-18,12:16:00,Falcon 9 Block 5,Starlink V1 L5,Active,67,Success
Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-03-21,17:06:00,Soyuz 2.1b/Fregat,OneWeb #3,Active,25,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-03-24,03:43:00,Long March 2C,Yaogan-30-06,Active,30.8,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-03-26,20:18:00,Atlas V 551,AEHF 6,Active,153,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-09,08:05:00,Soyuz 2.1a,Soyuz MS-16,Active,17.42,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-04-09,11:46:00,Long March 3B/E,Nusantara Dua,Active,29.15,Failure
IRGC,"Launch Plateform, Shahrud Missile Test Site",2020-04-22,03:59:00,Qased,Noor 1,Active,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-04-22,19:30:00,Falcon 9 Block 5,Starlink V1 L6,Active,67,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-25,01:51:00,Soyuz 2.1a,Progress MS-14,Active,17.42,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-05-05,10:00:00,Long March 5B,Test Flight (New Crew Capsule),Active,,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2020-05-12,01:16:00,Kuaizhou 1A,Xingyun-2 01 (Wuhan) & 02,Active,5.8,Success
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020-05-17,13:14:00,Atlas V 501,OTV-6 (USSF-7),Retired,120,Success
MHI,"LA-Y2, Tanegashima Space Center, Japan",2020-05-20,17:31:00,H-IIB,HTV-9,Retired,112.5,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-05-22,07:31:00,Soyuz 2.1b/Fregat-M,Cosmos 2546,Active,25,Success
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2020-05-25,19:50:00,LauncherOne,Demo Flight,Active,12,Failure
CASC,"Xichang Satellite Launch Center, China",2020-05-29,20:13:00,Long March 11,XJS-G and XJS-H,Active,5.3,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-05-30,19:22:00,Falcon 9 Block 5,SpaceX Demo-2,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-05-31,08:53:00,Long March 2D,Gaofen-9-02 & HEAD-4,Active,29.75,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-04,01:25:00,Falcon 9 Block 5,Starlink V1 L7,Active,67,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-06-10,18:31:00,Long March 2C,Haiyang-1D,Active,30.8,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-06-13,05:12:00,Electron/Curie,Don't stop me now!,Active,7.5,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-13,09:21:00,Falcon 9 Block 5,Starlink V1 L8 & SkySat 16 to 18,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-06-17,07:19:00,Long March 2D,"Gaofen-9 03, Pixing III A & HEAD-5",Active,29.75,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-06-23,01:43:00,Long March 3B/E,Beidou-3 G3,Active,29.15,Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-30,20:10:00,Falcon 9 Block 5,GPS III SV03,Active,67,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2020-07-03,03:10:00,Long March 4B,Gaofen Duomo & BY-02,Active,64.68,Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-07-04,21:19:00,Electron/Curie,Pics Or It Didn't Happen,Active,7.5,Failure
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-07-04,23:44:00,Long March 2D,Shiyan-6 02,Active,29.75,Success
IAI,"Pad 1, Palmachim Airbase, Israel",2020-07-06,01:00:00,Shavit-2,Ofek-16,Active,0,Success
